session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
MSFT_2024-04-01,buy,x_over_adv,8.80844785012874e-07,23311,0.4687565859387182,0.0035570152314949835,1.0274626391519384,0.23862075849333808,1.0
MSFT_2024-04-01,buy,x_over_adv,1.0066797543004274e-06,23311,0.4697475781838157,0.0035645350714627703,1.030274672110199,0.2392295909265195,1.0
MSFT_2024-04-01,buy,x_over_adv,1.1954322082317575e-06,46622,0.47103437134282844,0.0035742995057207465,1.0339555095626203,0.24013497740614956,1.0
MSFT_2024-04-01,buy,x_over_adv,1.3841846621630876e-06,23311,0.47237468819276424,0.00358447008805124,1.0377405610649981,0.24100191710989846,1.0
MSFT_2024-04-01,buy,x_over_adv,1.6358546007381942e-06,23311,0.47404647473001893,0.0035971559261924043,1.0423495151680156,0.24219868623126853,1.0
MSFT_2024-04-01,buy,x_over_adv,1.761689570025748e-06,23311,0.47477185756348883,0.0036026602708026257,1.0443558513362028,0.24275198927358893,1.0
MSFT_2024-04-01,buy,x_over_adv,2.1391944778884084e-06,46622,0.47664227653836144,0.0036168533701263945,1.049496054670798,0.24425100607160755,1.0
MSFT_2024-04-01,buy,x_over_adv,2.5166993857510685e-06,23311,0.4781979850963499,0.00362865838621049,1.053801742571251,0.2455216943385552,1.0
MSFT_2024-04-01,buy,x_over_adv,2.768369324326175e-06,23311,0.4791130041602761,0.0036356017270511853,1.0564012140059376,0.24621454926593306,1.0
MSFT_2024-04-01,buy,x_over_adv,3.3346266861201654e-06,46622,0.4809623406430261,0.0036496348483653707,1.0615549858847833,0.2477348261742742,1.0
MSFT_2024-04-01,buy,x_over_adv,4.02671901720171e-06,23311,0.4830665932529181,0.0036656023223354908,1.0670656220520713,0.24984694016817433,1.0
MSFT_2024-04-01,buy,x_over_adv,4.40422392506437e-06,23311,0.4840627619667793,0.0036731614423449665,1.0697051954253065,0.25084102213447573,1.0
MSFT_2024-04-01,buy,x_over_adv,5.033398771502137e-06,23311,0.4855597332931754,0.003684520749006097,1.073729213951219,0.252356298771312,1.0
MSFT_2024-04-01,buy,x_over_adv,5.977161041158788e-06,46622,0.48820329287487724,0.0037045805881199246,1.081458060944711,0.2539202533347524,1.0
MSFT_2024-04-01,buy,x_over_adv,7.046758280102992e-06,23311,0.496649695586429,0.003768673518219595,1.1054071579943388,0.25531629578948695,1.0
MSFT_2024-04-01,buy,x_over_adv,7.927603065115866e-06,23311,0.5067956790782272,0.0038456631945279307,1.1338776094651373,0.2569843901006589,1.0
MSFT_2024-04-01,buy,x_over_adv,8.934282819416293e-06,23311,0.5174499705630642,0.0039265100097603195,1.1636071815898594,0.2596876986360179,1.0
MSFT_2024-04-01,buy,x_over_adv,1.0570137420154488e-05,46622,0.5318552927442379,0.0040358203681639575,1.2031991692214616,0.2655420200018543,1.0
MSFT_2024-04-01,buy,x_over_adv,1.2583496928755343e-05,23311,0.5467951810046887,0.0041491871169059245,1.2440077004752805,0.2726694141297141,1.0
MSFT_2024-04-01,buy,x_over_adv,1.4093516560205984e-05,23311,0.5628975385623844,0.004271374906504661,1.286804467521497,0.27735099453626416,1.0
MSFT_2024-04-01,buy,x_over_adv,1.6798968399888383e-05,46622,0.5901725855343466,0.004478343214639949,1.3586893130938253,0.286872838024463,1.0
MSFT_2024-04-01,buy,x_over_adv,1.9881925147433442e-05,23311,0.6193019899181401,0.004699382743866054,1.4353051758923157,0.29738503213449896,1.0
MSFT_2024-04-01,buy,x_over_adv,2.2398624533184514e-05,23311,0.6467878524849279,0.004907950761326663,1.5078182577352068,0.305486349770774,1.0
MSFT_2024-04-01,buy,x_over_adv,2.5166993857510686e-05,23311,0.6737442010648459,0.005112500724698893,1.5787222502295806,0.315023303417313,1.0
MSFT_2024-04-01,buy,x_over_adv,2.9885805205793937e-05,46620,0.7240804593432343,0.005494461944580505,1.7100998890246453,0.330645016329866,0.9999571017974347
MSFT_2024-04-01,buy,x_over_adv,3.548546133909007e-05,23310,0.7834848087938957,0.0059452335863056155,1.8646024061483462,0.34755956384537895,0.9999571017974347
MSFT_2024-04-01,buy,x_over_adv,3.9763850294866884e-05,23308,0.8279726026186264,0.006282815531812111,1.9806323507133154,0.35992039461398234,0.9998713053923041
MSFT_2024-04-01,buy,x_over_adv,4.467141409708147e-05,23307,0.8791306643382252,0.006671012754440921,2.1140633496419383,0.3737962758654842,0.9998284071897388
MSFT_2024-04-01,buy,x_over_adv,5.3164612803289986e-05,46590,0.9662993570656736,0.0073324655788745705,2.3436305271652063,0.39521454112296117,0.999313628758955
MSFT_2024-04-01,buy,x_over_adv,6.304331961306427e-05,23259,1.0641721889379647,0.008075143472182718,2.604722166806263,0.41328739173298856,0.9977692934666037
MSFT_2024-04-01,buy,x_over_adv,7.071925273960503e-05,23166,1.1341575680066602,0.008606206003988606,2.8023452663756703,0.4137763393498662,0.9937797606280296
MSFT_2024-04-01,buy,x_over_adv,8.419866331619636e-05,45461,1.243485297163962,0.009435805863494623,3.12812547450746,0.4036540262786749,0.9750975934108361
MSFT_2024-04-01,buy,x_over_adv,9.99129656143174e-05,21528,1.351119897733388,0.01025255793727003,3.4582845631803147,0.3762318652231803,0.9235125048260477
MSFT_2024-04-01,buy,x_over_adv,0.00011844006655580427,36417,1.447880129496747,0.010986793206724455,3.7239871054971383,0.36904828274514473,0.7022006777916006
MSFT_2024-04-01,buy,x_over_adv,0.00017863223026171916,33370,1.5336809260746977,0.011637866171792242,3.9098991993822563,0.42613460915954865,0.018104792429605363
